,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mataura,99,NZ,1562999869,90,-46.19,168.86,48.99,1.99
88,gwadar,76,PK,1562999869,82,25.12,62.33,83.39,10.63
89,saldanha,71,PT,1562999869,58,41.42,-6.55,71.69,3.98
90,lebu,90,ET,1562999870,100,8.96,38.73,55.4,6.93
91,hobart,40,AU,1562999751,88,-42.88,147.33,46.4,17.22
92,constitucion,91,MX,1562999870,85,23.99,-104.67,63.0,4.0
93,mustasaari,0,FI,1562999871,51,63.17,21.67,63.0,11.41
94,vasilsursk,80,RU,1562999871,67,56.13,46.01,66.83,5.03
95,port elizabeth,72,CD,1562999871,52,-7.04,29.76,69.71,3.96
96,palmer,20,AU,1562999872,58,-34.85,139.16,55.99,13.87
97,fortuna,0,ES,1562999531,34,38.18,-1.13,82.99,3.36
98,puerto ayora,90,AR,1562999872,100,-51.62,-69.23,37.4,8.05
99,sirnak,0,TR,1562999788,33,37.52,42.46,86.0,8.05
100,vrangel,100,RU,1562999873,98,42.73,133.08,61.43,1.1
101,santa isabel,0,PH,1562999873,70,17.49,120.43,85.19,8.61
102,carnarvon,0,ZA,1562999676,30,-30.97,22.13,49.91,8.14
103,lasa,20,CY,1562999874,65,34.92,32.53,80.6,4.7
104,chuy,85,UY,1562999874,91,-33.69,-53.46,54.05,13.09
105,cayenne,0,GF,1562999874,94,4.94,-52.33,73.4,2.86
106,tuktoyaktuk,75,CA,1562999875,75,69.44,-133.03,46.4,8.05
107,comodoro rivadavia,41,BR,1562999531,61,-13.66,-59.79,69.89,3.02
108,qaqortoq,75,GL,1562999344,75,60.72,-46.03,46.4,4.7
109,waipawa,34,NZ,1562999493,77,-39.94,176.59,54.0,5.99
110,thompson,5,CA,1562999436,67,55.74,-97.86,60.8,4.7
111,ishigaki,75,JP,1562999876,75,24.34,124.16,89.6,21.92
112,poum,0,MK,1562999876,72,41.28,20.71,62.6,1.12
113,bredasdorp,1,ZA,1562999877,97,-34.53,20.04,50.0,1.99
114,cockburn town,40,AU,1562999877,39,-32.08,141.0,57.2,20.8
115,rawlins,1,US,1562999827,42,41.79,-107.24,64.4,5.82
